"IdUsuAccesos","IdUsuarios","IdAccesos","Activado"
1999,70,15,0
2000,70,16,0
2001,70,17,0
2002,70,18,0
2003,70,19,0
2004,70,20,0
2005,70,21,0
2006,70,22,0
2007,70,23,0
2008,70,24,0
2009,70,25,0
2010,70,26,0
2011,70,27,0
2012,70,28,0
2013,70,29,0
2014,70,30,0
2015,70,31,0
2016,71,1,0
2017,71,2,0
2018,71,3,0
2019,71,4,1
2020,71,5,0
2021,71,6,0
2022,71,7,0
2023,71,8,1
2024,71,9,0
2025,71,10,0
2026,71,11,0
2027,71,12,0
2028,71,13,0
2029,71,14,0
2030,71,15,0
2031,71,16,0
2032,71,17,0
2033,71,18,0
2034,71,19,0
2035,71,20,0
2036,71,21,0
2037,71,22,0
2038,71,23,0
2039,71,24,1
2040,71,25,0
2041,71,26,1
2042,71,27,1
2043,71,28,0
2044,71,29,0
2045,71,30,0
2046,71,31,0
2047,72,1,0
2048,72,2,0
2049,72,3,0
2050,72,4,0
2051,72,5,0
2052,72,6,0
2053,72,7,0
2054,72,8,0
2055,72,9,0
2056,72,10,0
2057,72,11,0
2058,72,12,0
2059,72,13,0
2060,72,14,0
2061,72,15,0
2062,72,16,0
2063,72,17,0
2064,72,18,0
2065,72,19,0
2066,72,20,0
2067,72,21,0
2068,72,22,0
2069,72,23,0
2070,72,24,0
2071,72,25,0
2072,72,26,0
2073,72,27,0
2074,72,28,0
2075,72,29,0
2076,72,30,0
2077,72,31,0
2078,73,1,0
2079,73,2,0
2080,73,3,0
2081,73,4,0
2082,73,5,0
2083,73,6,0
2084,73,7,0
2085,73,8,0
2086,73,9,0
2087,73,10,0
2088,73,11,0
2089,73,12,0
2090,73,13,0
2091,73,14,0
2092,73,15,0
2093,73,16,0
2094,73,17,0
2095,73,18,0
2096,73,19,0
2097,73,20,0
2098,73,21,0
2099,73,22,0
2100,73,23,0
2101,73,24,0
2102,73,25,0
2103,73,26,0
2104,73,27,0
2105,73,28,0
2106,73,29,0
2107,73,30,0
2108,73,31,0
2109,74,1,0
2110,74,2,0
2111,74,3,0
2112,74,4,0
2113,74,5,0
2114,74,6,0
2115,74,7,0
2116,74,8,0
2117,74,9,0
2118,74,10,0
2119,74,11,0
2120,74,12,0
2121,74,13,0
2122,74,14,0
2123,74,15,0
2124,74,16,0
2125,74,17,0
2126,74,18,0
2127,74,19,0
2128,74,20,0
2129,74,21,0
2130,74,22,0
2131,74,23,0
2132,74,24,0
2133,74,25,0
2134,74,26,0
2135,74,27,0
2136,74,28,0
2137,74,29,0
2138,74,30,0
2139,74,31,0
2140,75,1,0
2141,75,2,0
2142,75,3,0
2143,75,4,0
2144,75,5,0
2145,75,6,0
2146,75,7,0
2147,75,8,0
2148,75,9,0
2149,75,10,0
2150,75,11,0
2151,75,12,0
2152,75,13,0
2153,75,14,0
2154,75,15,0
2155,75,16,0
2156,75,17,0
2157,75,18,0
2158,75,19,0
2159,75,20,0
2160,75,21,0
2161,75,22,0
2162,75,23,0
2163,75,24,0
2164,75,25,0
2165,75,26,0
2166,75,27,0
2167,75,28,0
2168,75,29,0
2169,75,30,0
2170,75,31,0
2171,76,1,0
2172,76,2,0
2173,76,3,0
2174,76,4,0
2175,76,5,0
2176,76,6,0
2177,76,7,0
2178,76,8,0
2179,76,9,0
2180,76,10,0
2181,76,11,0
2182,76,12,0
2183,76,13,0
2184,76,14,0
2185,76,15,0
2186,76,16,0
2187,76,17,0
2188,76,18,0
2189,76,19,0
2190,76,20,0
2191,76,21,0
2192,76,22,0
2193,76,23,0
2194,76,24,0
2195,76,25,0
2196,76,26,0
2197,76,27,0
2198,76,28,0
2199,76,29,0
2200,76,30,0
2201,76,31,0
2202,1,32,1
2203,2,32,1
2204,3,32,0
2205,4,32,0
2206,5,32,0
2207,6,32,0
2208,10,32,0
2209,11,32,0
2210,12,32,0
2211,13,32,0
2212,14,32,0
2213,15,32,0
2214,16,32,0
2215,17,32,0
2216,18,32,0
2217,19,32,0
2218,20,32,0
2219,21,32,0
2220,22,32,0
2221,23,32,0
2222,24,32,0
2223,25,32,0
2224,27,32,0
2225,28,32,0
2226,29,32,0
2227,30,32,0
2228,31,32,0
2229,32,32,0
2230,33,32,0
2231,34,32,0
2232,35,32,0
2233,36,32,0
2234,37,32,0
2235,38,32,0
2236,39,32,0
2237,40,32,0
2238,41,32,0
2239,42,32,1
2240,43,32,0
2241,44,32,0
2242,45,32,1
2243,46,32,0
2244,47,32,0
2245,48,32,0
2246,49,32,0
2247,50,32,0
2248,51,32,0
2249,52,32,0
2250,53,32,0
2251,54,32,0
2252,55,32,0
2253,56,32,0
2254,57,32,0
2255,58,32,0
2256,59,32,0
2257,60,32,0
2258,61,32,0
2259,62,32,0
2260,63,32,0
2261,64,32,0
2262,65,32,0
2263,66,32,0
2264,67,32,0
2265,68,32,0
2266,69,32,0
2267,70,32,0
2268,71,32,1
2269,72,32,0
2270,73,32,0
2271,74,32,0
2272,75,32,0
2273,76,32,0
2274,1,33,1
2275,2,33,1
2276,3,33,0
2277,4,33,0
2278,5,33,0
2279,6,33,0
2280,10,33,0
2281,11,33,0
2282,12,33,0
2283,13,33,0
2284,14,33,0
2285,15,33,0
2286,16,33,0
2287,17,33,0
2288,18,33,0
2289,19,33,0
2290,20,33,0
2291,21,33,0
2292,22,33,0
2293,23,33,0
2294,24,33,0
2295,25,33,0
2296,27,33,0
2297,28,33,0
2298,29,33,0
2299,30,33,0
2300,31,33,0
2301,32,33,0
2302,33,33,0
2303,34,33,0
2304,35,33,0
2305,36,33,0
2306,37,33,0
2307,38,33,0
2308,39,33,0
2309,40,33,0
2310,41,33,0
2311,42,33,1
2312,43,33,0
2313,44,33,0
2314,45,33,0
2315,46,33,0
2316,47,33,0
2317,48,33,0
2318,49,33,0
2319,50,33,0
2320,51,33,0
2321,52,33,0
2322,53,33,0
2323,54,33,0
2324,55,33,0
2325,56,33,0
2326,57,33,0
2327,58,33,0
2328,59,33,0
2329,60,33,0
2330,61,33,0
2331,62,33,0
2332,63,33,0
2333,64,33,0
2334,65,33,0
2335,66,33,0
2336,67,33,0
2337,68,33,0
2338,69,33,0
2339,70,33,0
2340,71,33,1
2341,72,33,0
2342,73,33,0
2343,74,33,0
2344,75,33,0
2345,76,33,0
2346,1,34,1
2347,2,34,1
2348,3,34,0
2349,4,34,0
2350,5,34,0
2351,6,34,0
2352,10,34,0
2353,11,34,0
2354,12,34,0
2355,13,34,0
2356,14,34,0
2357,15,34,0
2358,16,34,0
2359,17,34,0
2360,18,34,0
2361,19,34,0
2362,20,34,0
2363,21,34,0
2364,22,34,0
2365,23,34,0
2366,24,34,0
2367,25,34,0
2368,27,34,0
2369,28,34,0
2370,29,34,0
2371,30,34,0
2372,31,34,0
2373,32,34,0
2374,33,34,0
2375,34,34,0
2376,35,34,0
2377,36,34,0
2378,37,34,0
2379,38,34,0
2380,39,34,0
2381,40,34,0
2382,41,34,0
2383,42,34,0
2384,43,34,0
2385,44,34,0
2386,45,34,0
2387,46,34,0
2388,47,34,0
2389,48,34,0
2390,49,34,0
2391,50,34,0
2392,51,34,0
2393,52,34,0
2394,53,34,0
2395,54,34,0
2396,55,34,0
2397,56,34,0
2398,57,34,0
2399,58,34,0
2400,59,34,0
2401,60,34,0
