"IdSalidas","IdOrdenes","IdTela","Fecha","Referencia"
349,137,10,29/11/2005 00:00:00,
350,137,13,29/11/2005 00:00:00,
351,138,13,29/11/2005 00:00:00,
352,0,14,15/12/2005 00:00:00,"ALAM04"
353,139,4,06/12/2005 00:00:00,
354,136,4,09/12/2005 00:00:00,
355,198,10,09/12/2005 00:00:00,
356,198,3,09/12/2005 00:00:00,
357,198,13,09/12/2005 00:00:00,
358,201,10,13/12/2005 00:00:00,
359,201,13,13/12/2005 00:00:00,
360,200,10,13/12/2005 00:00:00,
361,200,13,09/12/2005 00:00:00,
362,140,4,14/12/2005 00:00:00,
363,131,33,21/11/2005 00:00:00,
364,0,3,03/10/2005 00:00:00,"CSJ"
365,0,30,03/10/2005 00:00:00,"CSJ"
366,199,4,13/01/2006 00:00:00,
367,199,2,13/01/2006 00:00:00,
368,199,16,13/01/2006 00:00:00,
369,197,10,13/01/2006 00:00:00,
370,197,13,13/01/2006 00:00:00,
371,120,30,08/11/2005 00:00:00,
372,0,4,28/09/2005 00:00:00,"Diferencias 02"
373,0,1,28/09/2005 00:00:00,"Diferencias02"
374,0,5,28/09/2005 00:00:00,"Diferencias02"
375,0,10,28/09/2005 00:00:00,"Diferencias02"
376,0,11,28/09/2005 00:00:00,"Diferencias02"
377,0,13,28/09/2005 00:00:00,"Diferencias02"
378,0,16,28/09/2005 00:00:00,"Diferencias02"
379,0,10,23/01/2006 00:00:00,"MJD296"
380,0,16,20/01/2006 00:00:00,"MJD 261-262-263-264"
381,0,4,20/01/2006 00:00:00,"MJD 269"
382,0,6,20/01/2006 00:00:00,"MJD 253-254-256"
383,0,4,20/01/2006 00:00:00,"MJD 253-254-256"
384,141,4,20/01/2006 00:00:00,
385,142,4,20/01/2006 00:00:00,
386,143,4,20/01/2006 00:00:00,
387,144,4,20/01/2006 00:00:00,
388,145,4,20/01/2006 00:00:00,
389,146,4,20/01/2006 00:00:00,
390,147,4,20/01/2006 00:00:00,
391,148,4,20/01/2006 00:00:00,
392,149,4,20/01/2006 00:00:00,
393,150,4,20/01/2006 00:00:00,
394,151,10,20/01/2006 00:00:00,
395,151,14,20/01/2006 00:00:00,
396,151,4,20/01/2006 00:00:00,
397,152,4,20/01/2006 00:00:00,
398,153,4,20/01/2006 00:00:00,
399,154,4,20/01/2006 00:00:00,
400,152,10,20/01/2006 00:00:00,
401,154,10,20/01/2006 00:00:00,
402,0,29,25/10/2005 00:00:00,"MJD 203"
403,0,29,25/10/2005 00:00:00,"MJD 203"
404,97,30,22/09/2005 00:00:00,
405,99,30,22/09/2005 00:00:00,
406,98,30,23/09/2005 00:00:00,
407,100,30,27/09/2005 00:00:00,
408,120,30,08/11/2005 00:00:00,
409,72,3,31/01/2006 00:00:00,
410,0,3,25/01/2006 00:00:00,"Dev.02-06"
411,0,2,25/01/2006 00:00:00,"De.02-06"
412,0,33,25/01/2006 00:00:00,"Dev.02-06"
413,65,3,03/02/2006 00:00:00,
414,66,3,03/02/2006 00:00:00,
415,71,3,03/02/2006 00:00:00,
416,72,3,03/02/2006 00:00:00,
417,87,3,03/02/2006 00:00:00,
418,109,29,01/02/2006 00:00:00,
419,125,33,03/02/2006 00:00:00,
420,127,33,03/02/2006 00:00:00,
421,129,33,03/02/2006 00:00:00,
422,130,33,03/02/2006 00:00:00,
423,0,4,25/01/2006 00:00:00,"MJD 265-266"
424,0,14,25/01/2006 00:00:00,"MJD 260"
425,157,4,23/01/2006 00:00:00,
426,160,4,25/01/2006 00:00:00,
427,161,4,31/01/2006 00:00:00,
428,162,4,25/01/2006 00:00:00,
429,163,4,30/01/2006 00:00:00,
430,164,4,23/01/2006 00:00:00,
431,164,4,23/01/2006 00:00:00,
432,0,1,30/01/2006 00:00:00,"Cruz Nequis"
433,0,6,30/01/2006 00:00:00,"Cruz Nequis"
434,0,5,30/01/2006 00:00:00,"Cruz Nequis"
435,0,22,30/01/2006 00:00:00,"Cruz Nequis"
436,0,3,30/01/2006 00:00:00,"Cruz Nequis"
437,196,4,31/01/2006 00:00:00,
438,196,2,31/01/2006 00:00:00,
439,196,16,31/01/2006 00:00:00,
440,203,10,01/02/2006 00:00:00,
441,203,35,01/02/2006 00:00:00,
442,203,33,01/02/2006 00:00:00,
443,203,30,01/02/2006 00:00:00,
444,199,4,24/01/2006 00:00:00,
445,199,2,24/01/2006 00:00:00,
446,197,10,24/01/2006 00:00:00,
447,126,33,30/11/2005 00:00:00,
448,0,12,23/01/2006 00:00:00,"Dev. Inters."
449,0,14,23/01/2006 00:00:00,"Dev. Inters."
450,0,10,23/01/2006 00:00:00,"Dev. Inters."
451,0,13,23/01/2006 00:00:00,"Dev. Inters."
452,0,3,27/01/2006 00:00:00,"Dev. Inters."
453,0,10,25/01/2006 00:00:00,"MJD 264-260"
454,0,3,09/02/2006 00:00:00,"D.003"
455,0,7,09/02/2006 00:00:00,"D.003"
456,0,4,09/02/2006 00:00:00,"MJD 271-272"
457,0,4,09/02/2006 00:00:00,"MJD 271-272"
458,98,30,22/09/2005 00:00:00,
459,97,30,22/09/2005 00:00:00,
460,158,4,14/02/2006 00:00:00,
461,159,4,12/02/2006 00:00:00,
462,164,4,15/02/2006 00:00:00,
463,0,10,16/02/2006 00:00:00,"D.004"
464,0,4,16/02/2006 00:00:00,"D.004"
465,0,30,16/02/2006 00:00:00,"D.004"
466,0,29,16/02/2006 00:00:00,"D.004"
467,0,29,23/01/2006 00:00:00,"Dev. Inters."
468,0,33,23/01/2006 00:00:00,"Dev. Inters."
469,0,4,21/02/2006 00:00:00,"MJD 281-283"
470,0,7,21/02/2006 00:00:00,"MJD 281"
471,0,6,21/02/2006 00:00:00,"MJD 281"
472,0,16,21/02/2006 00:00:00,"MJD 283-302"
473,0,21,21/02/2006 00:00:00,"MJD 281"
474,0,30,21/02/2006 00:00:00,"MJD 305-306"
475,0,4,16/02/2006 00:00:00,"MJD 268"
476,0,2,16/02/2006 00:00:00,"MJD 270"
477,0,10,15/02/2006 00:00:00,"MJD 270"
478,0,29,16/02/2006 00:00:00,"MJD 297"
479,156,4,15/02/2006 00:00:00,
480,0,30,23/02/2006 00:00:00,"Dev. Inters."
481,0,3,23/01/2006 00:00:00,"Dev. Inters."
482,0,13,23/01/2006 00:00:00,"Dev. Inters."
483,0,30,25/01/2006 00:00:00,"MJD 296"
484,0,30,16/02/2006 00:00:00,"D.004"
485,0,10,16/02/2006 00:00:00,"MJD 307"
486,0,30,16/02/2006 00:00:00,"MJD 307"
487,0,12,16/02/2006 00:00:00,"MJD 307"
488,0,3,16/02/2006 00:00:00,"MJD 307"
489,214,10,20/02/2006 00:00:00,
490,214,36,20/02/2006 00:00:00,
491,214,12,20/02/2006 00:00:00,
492,214,30,20/02/2006 00:00:00,
493,165,4,16/02/2006 00:00:00,
494,165,10,16/02/2006 00:00:00,
495,166,4,10/02/2006 00:00:00,
496,166,10,10/02/2006 00:00:00,
497,167,10,14/02/2006 00:00:00,
498,167,14,14/02/2006 00:00:00,
499,167,4,14/02/2006 00:00:00,
500,168,4,15/02/2006 00:00:00,
501,168,16,15/02/2006 00:00:00,
502,169,4,15/02/2006 00:00:00,
503,169,16,15/02/2006 00:00:00,
504,170,4,22/02/2006 00:00:00,
505,170,16,22/02/2006 00:00:00,
506,0,3,25/01/2006 00:00:00,"Dev.02-06"
507,0,30,02/03/2006 00:00:00,"MJD 308-309"
508,0,13,02/03/2006 00:00:00,"MJD 308-309"
509,125,33,24/11/2005 00:00:00,
510,127,33,24/11/2005 00:00:00,
511,129,33,24/11/2005 00:00:00,
512,130,33,24/11/2005 00:00:00,
513,65,3,24/11/2005 00:00:00,
514,71,3,24/11/2005 00:00:00,
515,0,33,23/01/2006 00:00:00,"Dev.Inters."
516,0,30,23/01/2006 00:00:00,"Dev. Inters."
517,120,29,08/11/2005 00:00:00,
518,0,30,23/01/2006 00:00:00,"Dev. Inters."
519,117,29,21/10/2005 00:00:00,
520,119,29,16/11/2005 00:00:00,
521,128,33,16/11/2005 00:00:00,
522,131,33,25/11/2005 00:00:00,
523,133,33,25/11/2005 00:00:00,
524,215,10,06/03/2006 00:00:00,
525,180,4,04/03/2006 00:00:00,
526,183,4,06/03/2006 00:00:00,
527,179,4,02/03/2006 00:00:00,
528,179,6,02/03/2006 00:00:00,
529,171,10,02/03/2006 00:00:00,
530,171,16,02/03/2006 00:00:00,
531,171,4,02/03/2006 00:00:00,
532,0,4,10/03/2006 00:00:00,"Free 418-429"
533,0,6,10/03/2006 00:00:00,"Free 418-429"
534,0,14,10/03/2006 00:00:00,"Free 418-429"
535,155,0,02/03/2006 00:00:00,
536,155,0,02/03/2006 00:00:00,
537,155,10,02/01/2006 00:00:00,
538,155,4,02/01/2006 00:00:00,
539,185,4,10/03/2006 00:00:00,
