"IdEntregas","IdOrdenes","IdMaquileros","Fecha","Cantidad","Observaciones","FechaEntregaM","PrecioPactado","Consecutivo"
3536,2697,360,25/04/2017 00:00:00,936,"OJO       ENTREGAR  PEDIDO   POR   SEPARADO",10/05/2017 00:00:00,34.00,1
3537,2698,226,25/04/2017 00:00:00,216,,08/05/2017 00:00:00,36.00,1
3538,2697,220,12/05/2017 00:00:00,35,,,30.00,2
3539,2698,334,26/04/2017 00:00:00,672,,10/05/2017 00:00:00,35.00,2
3540,2692,334,26/04/2017 00:00:00,1280,,04/05/2017 00:00:00,12.00,1
3541,2705,301,27/04/2017 00:00:00,1076,,08/05/2017 00:00:00,18.00,1
3542,2695,158,29/04/2017 00:00:00,968,"ENTREGAR POR  ORDEN   POR CAMBIO  DE TONOS

Fecha de emtrega hasta que reciba los cierres.",17/05/2017 00:00:00,30.00,1
3543,2707,361,03/05/2017 00:00:00,410,"ojo checar  las separaciones  no revolver    gracias",08/05/2017 00:00:00,27.00,1
3544,2706,62,03/05/2017 00:00:00,722,,08/05/2017 00:00:00,14.00,1
3545,2707,359,04/05/2017 00:00:00,154,,08/05/2017 00:00:00,27.00,2
3546,2691,345,04/05/2017 00:00:00,1280,,12/05/2017 00:00:00,11.50,1
3547,2680,301,05/05/2017 00:00:00,1182,,09/05/2017 00:00:00,12.00,1
3548,2689,62,08/05/2017 00:00:00,1280,,12/05/2017 00:00:00,11.50,1
3549,2698,226,09/05/2017 00:00:00,104,,,30.00,3
3550,2696,331,08/05/2017 00:00:00,594,,16/05/2017 00:00:00,30.00,1
3551,2704,334,10/05/2017 00:00:00,1084,,16/05/2017 00:00:00,20.00,1
3552,2708,226,10/05/2017 00:00:00,632,,22/05/2017 00:00:00,8.00,1
3553,2707,331,08/05/2017 00:00:00,158,,10/05/2017 00:00:00,30.70,3
3555,2710,345,15/05/2017 00:00:00,1022,"sacar   URGENTE  CH, 45    MED.   89    GDE.   102     EX. 64",18/05/2017 00:00:00,16.00,1
3557,2712,226,16/05/2017 00:00:00,217,,22/05/2017 00:00:00,30.00,1
3558,2712,360,16/05/2017 00:00:00,204,,24/05/2017 00:00:00,30.00,2
3559,2712,297,16/05/2017 00:00:00,204,"RECOGER MARILYN",22/05/2017 00:00:00,30.00,3
3560,2712,359,17/05/2017 00:00:00,204,,24/05/2017 00:00:00,27.00,4
3561,2696,334,18/05/2017 00:00:00,374,,23/05/2017 00:00:00,30.00,2
3562,2712,363,19/05/2017 00:00:00,193,"OJO  CORTE   CIEN  POR CIENTO   FOLEADO CHECAR   NO  REvOLVER",24/05/2017 00:00:00,30.00,5
3563,2688,62,19/05/2017 00:00:00,704,,25/05/2017 00:00:00,12.50,1
3565,2675,334,22/05/2017 00:00:00,1116,,25/05/2017 00:00:00,8.00,1
3566,2676,334,22/05/2017 00:00:00,644,,25/05/2017 00:00:00,8.00,1
3567,2709,158,23/05/2017 00:00:00,1540,,31/05/2017 00:00:00,6.00,1
3568,2734,334,09/06/2017 00:00:00,992,,16/06/2017 00:00:00,10.50,1
3569,2676,334,24/05/2017 00:00:00,468,,25/05/2017 00:00:00,8.00,2
3570,2693,62,24/05/2017 00:00:00,1280,,29/05/2017 00:00:00,12.00,1
3571,2714,365,29/05/2017 00:00:00,524,,09/06/2017 00:00:00,29.00,1
3572,2713,226,30/05/2017 00:00:00,507,,09/06/2017 00:00:00,12.50,1
3573,2714,236,29/05/2017 00:00:00,595,,09/06/2017 00:00:00,40.00,2
3574,2713,158,30/05/2017 00:00:00,612,,09/06/2017 00:00:00,15.00,2
3575,2713,158,06/06/2017 00:00:00,40,"PEDIDO ESPECIAL...DEPENDE EL ESTAMPADO",09/06/2017 00:00:00,15.00,3
3576,2748,187,06/06/2017 00:00:00,396,,14/06/2017 00:00:00,17.50,1
3577,2747,187,06/06/2017 00:00:00,260,,14/06/2017 00:00:00,30.00,1
3578,2714,158,06/05/2017 00:00:00,559,,20/06/2017 00:00:00,32.50,3
3579,2714,226,06/06/2017 00:00:00,392,,20/06/2017 00:00:00,31.00,4
3580,2713,365,09/06/2017 00:00:00,911,,19/06/2017 00:00:00,12.50,4
3581,2718,359,30/06/2017 00:00:00,1020,"JOGGER",26/06/2017 00:00:00,7.50,1
3582,2491,226,05/04/2017 00:00:00,224,,12/06/2017 00:00:00,20.00,7
3583,2728,187,12/06/2017 00:00:00,760,,26/06/2017 00:00:00,19.00,1
3584,2728,236,12/06/2017 00:00:00,784,,26/06/2017 00:00:00,19.00,2
3585,2709,187,12/06/2017 00:00:00,1540,,15/06/2017 00:00:00,11.00,2
3586,2717,225,13/06/2017 00:00:00,1000,,26/05/2017 00:00:00,9.00,1
3587,2728,193,13/06/2017 00:00:00,1440,,26/06/2017 00:00:00,20.00,3
3588,2727,193,15/06/2017 00:00:00,1496,,29/06/2017 00:00:00,20.00,1
3589,2727,193,15/06/2017 00:00:00,1496,,29/06/2017 00:00:00,20.00,2
3590,2715,226,15/06/2017 00:00:00,1020,,26/06/2017 00:00:00,11.00,1
3591,2753,251,16/06/2017 00:00:00,306,,26/06/2017 00:00:00,8.00,1
3592,2754,251,16/06/2017 00:00:00,612,,26/06/2017 00:00:00,8.00,1
3593,2751,193,16/06/2017 00:00:00,290,,26/06/2017 00:00:00,50.00,1
3594,2716,225,19/06/2017 00:00:00,1050,,26/06/2017 00:00:00,9.00,1
3595,2718,359,20/06/2017 00:00:00,1020,"PLAYERA",,10.00,2
3596,2750,236,20/06/2017 00:00:00,924,"nota falta entretela de 2do corte",03/07/2017 00:00:00,51.50,1
3597,2739,236,20/06/2017 00:00:00,736,,07/07/2017 00:00:00,20.00,1
3598,2755,251,20/06/2017 00:00:00,612,,07/08/2017 00:00:00,8.00,1
3599,2749,158,21/06/2017 00:00:00,318,,03/07/2017 00:00:00,42.00,1
3600,2756,334,22/06/2017 00:00:00,621,,28/06/2017 00:00:00,11.50,1
3601,2757,334,22/06/2017 00:00:00,372,,28/06/2017 00:00:00,11.50,1
3602,2749,187,22/06/2017 00:00:00,600,,27/06/2017 00:00:00,42.50,2
3603,2749,,,0,,,45.00,3
3604,2773,320,16/08/2017 00:00:00,736,,18/08/2017 00:00:00,12.00,1
3605,2753,251,22/06/2017 00:00:00,187,,26/06/2017 00:00:00,8.00,2
3606,2739,193,23/06/2017 00:00:00,2344,,14/07/2017 00:00:00,20.00,2
3607,2752,225,23/06/2017 00:00:00,180,,07/07/2017 00:00:00,42.00,1
3608,2752,236,23/06/2017 00:00:00,200,,07/07/2017 00:00:00,42.00,2
3609,2770,359,26/06/2017 00:00:00,984,,03/07/2017 00:00:00,12.00,1
3610,2752,158,26/06/2017 00:00:00,180,,10/07/2017 00:00:00,42.50,3
3611,2736,365,27/06/2017 00:00:00,180,,03/07/2017 00:00:00,13.50,1
3612,2752,367,27/06/2017 00:00:00,400,,07/07/2017 00:00:00,42.00,4
3613,2737,251,27/06/2017 00:00:00,904,,07/07/2017 00:00:00,19.50,1
3614,2737,225,27/06/2017 00:00:00,912,".",07/07/2017 00:00:00,19.00,2
3615,2738,365,29/06/2017 00:00:00,1008,,07/07/2017 00:00:00,18.50,1
3616,2738,236,30/06/2017 00:00:00,944,,11/07/2017 00:00:00,19.00,2
3617,2718,359,29/06/2017 00:00:00,610,"PLAYERA",05/07/2017 00:00:00,10.00,3
3618,2715,226,29/06/2017 00:00:00,760,,29/06/2017 00:00:00,10.00,2
3619,2752,,,0,,,36.00,5
3620,2718,359,30/06/2017 00:00:00,440,"PLAYERA",05/07/2017 00:00:00,10.00,4
3621,2718,,,0,,05/07/2017 00:00:00,17.50,5
3622,2716,345,30/06/2017 00:00:00,1020,"Se le pagara a  $13.00 autorizo...Ricardo",05/07/2017 00:00:00,10.00,2
3623,2729,368,03/07/2017 00:00:00,657,,07/07/2017 00:00:00,23.00,1
3624,2729,345,03/07/2017 00:00:00,531,,07/07/2017 00:00:00,23.00,2
3625,2717,368,03/07/2017 00:00:00,970,,07/07/2017 00:00:00,12.00,2
3626,2732,236,04/07/2017 00:00:00,960,,12/07/2017 00:00:00,23.00,1
3627,2732,251,04/07/2017 00:00:00,360,,13/07/2017 00:00:00,22.00,2
3628,2733,366,15/06/2017 00:00:00,1248,"Corte y confeccion",05/07/2017 00:00:00,22.00,1
