"IdSalidasDet","IdSalidas","IdTelasColAlm","TelaSal1","TelaSal2"
120,88,383,238.80,0.00
121,88,381,25.50,69.00
122,89,457,0.00,60.30
123,90,417,18.00,0.00
124,91,91,566.95,0.00
125,92,183,22.09,0.00
126,92,175,20.47,0.00
127,93,167,367.60,0.00
128,93,189,0.00,16.65
129,94,45,277.45,0.00
130,95,183,8.25,0.00
131,95,173,7.75,0.00
132,96,45,557.80,18.08
133,97,91,38.82,0.00
134,98,183,4.75,0.00
135,99,189,294.31,0.00
136,99,167,0.00,17.42
137,100,43,867.52,0.00
138,101,9,0.00,30.50
139,102,167,15.56,0.00
140,103,43,726.94,0.00
141,104,167,9.12,69.74
142,105,43,316.35,0.00
143,106,9,614.14,0.00
144,106,1,73.30,21.00
145,107,9,57.60,0.00
146,108,1,527.45,0.00
147,108,9,76.51,0.00
148,109,1,264.34,0.00
149,110,91,178.11,13.61
150,111,1,0.00,18.00
151,112,1,6.00,0.00
152,113,33,1.15,0.00
153,113,31,1.10,0.00
154,114,69,183.42,0.00
155,114,55,0.00,3.95
156,115,91,20.00,21.65
157,116,1,15.77,0.00
158,117,45,0.00,31.96
159,118,301,206.76,0.00
160,119,91,210.16,0.00
161,120,1,216.01,0.00
162,121,61,0.00,46.60
163,122,253,0.00,47.65
164,123,229,166.12,0.00
165,124,61,218.46,0.00
166,125,41,21.16,0.00
167,126,51,103.00,0.00
168,127,231,212.00,36.40
169,128,109,25.16,0.00
170,129,47,30.29,0.00
171,130,51,104.66,0.00
172,131,231,213.00,0.00
173,132,61,204.04,0.00
174,133,231,214.40,0.00
175,134,1,0.00,4.10
176,135,253,0.00,7.70
177,136,75,0.00,14.00
178,137,101,77.72,0.00
179,138,141,0.00,7.00
180,139,219,0.00,8.00
181,140,109,10.00,0.00
182,140,99,10.00,0.80
183,140,101,6.00,0.80
184,140,83,8.80,0.00
185,140,95,9.00,0.00
186,140,111,9.00,0.00
187,140,89,8.00,0.00
188,141,153,8.00,0.00
189,141,159,8.00,0.00
190,141,157,10.00,0.00
191,142,301,11.00,0.00
192,143,203,5.00,0.00
193,144,221,2.00,0.00
194,145,171,2.90,0.00
195,145,181,6.00,0.00
196,145,185,5.00,0.00
197,145,189,5.00,0.80
198,146,91,214.34,0.00
199,147,61,277.05,0.00
200,148,41,176.05,0.00
201,149,221,0.00,0.80
202,150,77,0.00,2.45
203,151,71,199.37,0.00
204,152,231,1166.00,0.00
205,152,227,682.60,38.72
206,152,233,889.30,34.40
207,153,505,93.30,0.00
208,153,502,92.53,9.02
209,153,508,11.00,9.11
210,153,511,11.05,0.00
211,154,526,42.90,0.00
212,154,523,17.15,0.00
213,155,511,125.10,4.65
214,155,502,3.64,0.00
215,155,499,111.42,4.65
216,155,517,10.57,0.00
217,155,514,3.56,0.00
218,156,529,48.85,0.00
219,156,532,48.75,0.00
220,157,523,13.22,0.00
221,157,526,13.28,0.00
222,158,502,95.28,7.54
223,158,499,89.30,7.62
224,158,511,9.75,0.00
225,159,17,80.00,0.00
226,159,13,201.76,0.00
227,159,15,102.07,0.00
228,159,21,25.40,0.00
229,159,7,77.00,0.00
230,159,31,15.00,0.00
231,159,33,67.00,0.00
232,160,329,236.24,0.00
233,161,315,54.58,0.00
234,161,307,147.78,0.00
235,162,123,113.11,0.00
236,163,69,72.27,0.00
237,164,131,60.35,0.00
238,165,356,149.00,0.00
239,165,355,0.00,30.60
240,166,375,58.11,0.00
241,166,385,490.00,110.00
242,167,410,28.89,0.00
243,168,392,45.00,0.00
244,169,342,0.00,6.00
245,170,417,339.00,0.00
246,170,424,226.57,30.00
247,171,429,12.90,0.00
248,171,433,1.60,0.00
249,171,432,15.00,0.00
250,172,55,123.15,20.82
251,172,61,121.97,22.43
252,173,53,200.10,0.00
253,173,77,189.53,0.00
254,174,548,3.00,0.00
255,175,560,3.00,0.00
256,175,563,3.00,0.00
257,175,566,3.00,0.00
258,176,77,6.00,0.00
259,176,53,6.00,0.00
260,177,557,3604.82,0.00
261,177,566,2075.10,0.00
262,178,572,3.00,0.00
263,178,551,3.00,0.00
264,178,545,3.00,0.00
265,178,554,3.00,0.00
266,179,557,3.00,0.00
267,180,560,1505.15,54.26
268,181,55,0.00,73.97
269,181,61,0.00,70.80
270,182,55,124.46,6.97
271,182,61,129.81,9.05
272,183,185,9.10,0.00
273,183,171,6.00,0.00
274,184,539,32.48,0.00
275,184,542,31.68,0.00
276,185,539,43.52,0.00
277,185,542,43.32,0.00
278,186,53,190.93,0.00
279,186,77,182.07,0.00
280,187,55,189.12,0.00
281,187,61,218.31,0.00
282,187,75,10.00,0.00
283,188,55,171.35,4.72
284,188,61,188.65,5.00
285,189,175,14.00,0.00
286,189,183,12.93,0.00
287,190,61,162.59,4.75
288,190,75,168.44,6.86
289,190,51,65.89,0.00
290,191,155,4.00,0.00
291,192,67,602.59,41.29
292,192,55,611.96,56.49
293,192,535,620.22,58.86
294,192,61,1148.97,95.17
297,193,75,100.31,0.00
298,193,77,151.72,40.26
299,193,53,46.35,19.31
300,193,73,98.63,0.00
301,194,41,57.04,0.00
302,195,769,1150.34,0.00
303,195,763,1561.26,0.00
304,196,761,1425.35,0.00
