"IdSalidasDet","IdSalidas","IdTelasColAlm","TelaSal1","TelaSal2"
618,325,211,318.10,46.40
619,325,213,258.11,0.00
620,326,223,190.65,0.00
621,327,55,0.00,18.30
622,327,75,0.00,54.84
623,328,45,0.00,34.89
624,329,45,261.08,0.00
625,329,47,120.77,0.00
626,330,235,120.90,0.00
627,331,639,0.00,42.17
628,331,643,0.00,75.64
629,331,645,0.00,131.63
630,332,736,0.00,148.27
631,332,737,0.00,152.35
632,332,738,0.00,192.54
633,332,739,0.00,18.70
634,333,581,0.00,118.16
635,333,585,0.00,207.13
636,333,582,0.00,18.50
637,333,583,0.00,3.89
638,333,575,0.00,321.01
639,333,588,0.00,43.00
640,333,587,0.00,119.34
641,333,589,0.00,107.72
642,334,727,0.00,33.43
643,334,728,0.00,112.49
644,334,729,0.00,113.09
645,334,726,0.00,56.98
646,334,734,0.00,177.00
647,334,735,0.00,126.36
648,334,731,0.00,159.37
649,334,733,0.00,176.75
650,335,604,0.00,53.52
651,335,609,0.00,261.65
652,335,605,0.00,84.96
653,335,602,0.00,218.23
654,335,611,0.00,35.50
655,335,599,0.00,212.35
656,336,595,0.00,19.70
657,336,597,0.00,134.18
658,337,625,0.00,73.47
659,337,626,0.00,49.05
660,337,627,0.00,66.25
661,338,706,0.00,33.53
662,338,699,0.00,35.32
663,338,700,0.00,75.40
664,338,705,0.00,290.00
665,338,702,0.00,169.56
666,338,701,0.00,367.01
667,338,698,0.00,120.60
668,339,681,0.00,173.80
669,340,213,0.00,172.30
670,341,55,0.00,42.93
671,342,45,0.00,5.96
672,343,1051,821.60,0.00
673,343,1056,847.84,0.00
674,343,1036,826.44,0.00
675,344,1056,269.12,0.00
676,344,1036,252.58,0.00
677,344,1051,87.83,0.00
678,345,1036,197.13,0.00
679,345,1272,247.41,0.00
680,345,1056,51.98,0.00
681,346,667,434.29,42.50
682,346,662,462.53,0.00
683,347,662,364.82,0.00
684,347,661,355.17,17.02
