"IdIPT_Movs","Fecha","Referencia","IdIPT_TipoMov","EnSa","IdMaquileros","ObsMovs","IdIPT_Almacenes","IdUsuarios","TieneModelos","IdRecibos"
1765,07/04/2021 00:00:00,,15,2,0,,1,71,1,0
1766,07/04/2021 00:00:00,,15,2,0,,2,71,1,0
1767,07/04/2021 00:00:00,,2,1,404,,1,71,1,0
1768,07/04/2021 00:00:00,,2,1,404,,2,71,1,0
1769,07/04/2021 00:00:00,,2,1,404,,1,71,1,0
1770,07/04/2021 00:00:00,,2,1,404,,2,71,1,0
1771,04/07/2021 00:00:00,,2,1,251,,1,71,1,9163
1772,08/04/2021 00:00:00,,12,1,0,,1,71,1,0
1773,08/04/2021 00:00:00,,12,1,0,,2,71,1,0
1774,04/08/2021 00:00:00,,2,1,16,,1,71,1,9165
1775,04/08/2021 00:00:00,,2,1,16,,2,71,1,9166
1776,04/08/2021 00:00:00,,2,1,16,,1,71,1,9168
1777,04/08/2021 00:00:00,,2,1,16,,1,71,1,9169
1778,08/04/2021 00:00:00,"Segundas (1779)",9,2,0,,1,71,1,0
1779,08/04/2021 00:00:00,"Primeras (1778)",9,1,0,,2,71,1,0
1780,08/04/2021 00:00:00,,15,2,0,,1,71,1,0
1781,08/04/2021 00:00:00,"Segundas (1782)",9,2,0,,1,71,1,0
1782,08/04/2021 00:00:00,"Primeras (1781)",9,1,0,,2,71,1,0
1783,08/04/2021 00:00:00,,15,2,0,,1,71,1,0
1784,08/04/2021 00:00:00,"Segundas (1785)",9,2,0,,1,71,1,0
1785,08/04/2021 00:00:00,"Primeras (1784)",9,1,0,,2,71,1,0
1786,08/04/2021 00:00:00,,11,2,0,,2,71,1,0
1787,08/04/2021 00:00:00,,15,2,0,,1,71,1,0
1788,08/04/2021 00:00:00,"Segundas (1789)",9,2,0,,1,71,1,0
1789,08/04/2021 00:00:00,"Primeras (1788)",9,1,0,,2,71,1,0
1790,08/04/2021 00:00:00,,14,1,0,,1,71,1,0
1791,08/04/2021 00:00:00,"Segundas (1792)",9,2,0,,1,71,1,0
1792,08/04/2021 00:00:00,"Primeras (1791)",9,1,0,,2,71,1,0
1793,08/04/2021 00:00:00,,15,2,0,,1,71,1,0
1794,08/04/2021 00:00:00,"Segundas (1795)",9,2,0,,1,71,1,0
1795,08/04/2021 00:00:00,"Primeras (1794)",9,1,0,,2,71,1,0
1796,08/04/2021 00:00:00,,15,2,0,,1,71,1,0
1797,08/04/2021 00:00:00,"Segundas (1798)",9,2,0,,1,71,1,0
1798,08/04/2021 00:00:00,"Primeras (1797)",9,1,0,,2,71,1,0
1799,08/04/2021 00:00:00,,15,2,0,,1,71,1,0
1800,08/04/2021 00:00:00,"Segundas (1801)",9,2,0,,1,71,1,0
1801,08/04/2021 00:00:00,"Primeras (1800)",9,1,0,,2,71,1,0
1802,08/04/2021 00:00:00,,15,2,0,,1,71,1,0
1803,08/04/2021 00:00:00,,15,2,0,,2,71,1,0
1804,08/04/2021 00:00:00,,15,2,0,,1,71,1,0
1805,08/04/2021 00:00:00,"Segundas (1806)",9,2,0,,1,71,1,0
1806,08/04/2021 00:00:00,"Primeras (1805)",9,1,0,,2,71,1,0
1807,08/04/2021 00:00:00,,15,2,0,,1,71,1,0
1808,09/04/2021 00:00:00,,5,2,0,"C&A",1,71,1,0
1809,09/04/2021 00:00:00,"Segundas (1810)",9,2,0,,1,71,1,0
1810,09/04/2021 00:00:00,"Primeras (1809)",9,1,0,,2,71,1,0
1811,09/04/2021 00:00:00,,14,1,0,,2,71,1,0
1812,09/04/2021 00:00:00,,15,2,0,,1,71,1,0
1813,09/04/2021 00:00:00,,12,1,0,,1,71,1,0
1814,04/10/2021 00:00:00,,2,1,226,,1,71,1,9170
1815,04/09/2021 00:00:00,,2,1,16,,1,71,1,9171
1816,04/09/2021 00:00:00,,2,1,16,,2,71,1,9172
1817,04/12/2021 00:00:00,,2,1,251,,1,71,1,9173
1818,12/04/2021 00:00:00,,7,2,0,"Rafael Salda¤a",1,71,1,0
1819,12/04/2021 00:00:00,,2,1,236,,1,71,1,0
