"IdCC_AuditoriasDet","IdCC_Auditorias","IdCC_Catalogo","NumFallas"
853,29,19,0
854,29,20,0
855,29,21,0
856,29,22,0
857,29,24,0
858,29,25,0
859,29,26,0
860,29,27,0
861,29,29,0
862,29,30,0
863,29,31,0
864,29,32,1
865,29,33,0
866,29,34,4
867,29,35,0
868,29,36,0
869,29,37,0
870,30,1,0
871,30,2,0
872,30,3,0
873,30,4,0
874,30,5,0
875,30,6,0
876,30,8,0
877,30,11,0
878,30,12,0
880,30,15,0
881,30,16,0
883,30,18,0
884,30,19,0
885,30,20,0
886,30,21,0
887,30,22,1
888,30,24,0
889,30,25,0
890,30,26,0
891,30,27,0
892,30,29,0
893,30,30,0
894,30,31,0
895,30,32,0
896,30,33,0
897,30,34,5
898,30,35,0
899,30,36,0
900,30,37,0
901,31,1,0
902,31,2,0
903,31,3,0
904,31,4,0
905,31,5,0
906,31,6,0
907,31,8,0
908,31,11,0
909,31,12,0
910,31,14,0
911,31,15,0
912,31,16,0
914,31,18,0
915,31,19,0
916,31,20,0
917,31,21,0
918,31,22,32
919,31,24,0
920,31,25,0
921,31,26,0
922,31,27,0
923,31,29,0
924,31,30,0
925,31,31,0
926,31,32,2
927,31,33,0
928,31,34,5
929,31,35,0
930,31,36,1
931,31,37,2
932,32,1,0
933,32,2,0
934,32,3,0
935,32,4,0
936,32,5,0
937,32,6,0
938,32,8,0
939,32,11,0
940,32,12,0
941,32,14,0
942,32,15,0
943,32,16,0
945,32,18,0
946,32,19,0
947,32,20,0
948,32,21,0
949,32,22,0
950,32,24,0
951,32,25,0
952,32,26,0
953,32,27,0
954,32,29,0
955,32,30,0
956,32,31,0
957,32,32,0
958,32,33,0
959,32,34,32
960,32,35,0
961,32,36,0
962,32,37,0
963,33,1,0
964,33,2,0
965,33,3,0
966,33,4,0
967,33,5,0
968,33,6,0
969,33,8,0
970,33,11,0
971,33,12,0
972,33,14,0
973,33,15,0
974,33,16,0
976,33,18,0
977,33,19,0
978,33,20,0
979,33,21,0
980,33,22,0
981,33,24,0
982,33,25,0
983,33,26,0
984,33,27,0
985,33,29,0
986,33,30,0
987,33,31,0
988,33,32,0
989,33,33,0
990,33,34,12
991,33,35,0
992,33,36,0
993,33,37,0
994,34,1,0
995,34,2,0
996,34,3,0
997,34,4,0
998,34,5,0
999,34,6,0
1000,34,8,0
1001,34,11,0
1002,34,12,0
1003,34,14,15
1004,34,15,0
1005,34,16,0
1007,34,18,0
1008,34,19,0
1009,34,20,0
1010,34,21,0
1011,34,22,6
1012,34,24,0
1013,34,25,0
1014,34,26,0
1015,34,27,0
