"IdModelosTela","IdModelos","IdTelasDis","CantTela","bPreCosto","bProduccion","bCosto"
401,515,11,0.45,1,1,1
402,516,11,0.35,1,1,1
403,517,5,0.25,1,1,1
404,518,4,0.50,1,1,1
414,519,7,0.50,1,1,1
415,520,20,0.40,1,1,1
418,521,14,0.20,1,1,1
417,522,19,0.25,1,1,1
416,523,20,0.35,1,1,1
405,524,5,0.25,1,1,1
406,526,4,0.35,1,1,1
407,527,5,0.20,1,1,1
433,529,6,0.80,1,1,1
413,532,13,0.20,1,1,1
412,533,13,0.20,1,1,1
419,534,20,0.50,1,1,1
420,535,19,0.25,1,1,1
421,536,19,0.20,1,1,1
422,537,20,0.45,1,1,1
423,538,20,0.35,1,1,1
434,539,25,0.45,1,1,1
704,544,8,0.20,1,1,1
425,563,20,0.50,1,1,1
429,564,19,0.25,1,1,1
430,565,20,0.50,1,1,1
431,566,20,0.45,1,1,1
432,567,20,0.30,1,1,1
449,568,6,0.50,1,1,1
448,569,19,0.25,1,1,1
447,570,6,0.45,1,1,1
446,571,6,0.35,1,1,1
445,572,6,0.50,1,1,1
444,573,25,0.50,1,1,1
443,574,25,0.50,1,1,1
442,575,6,0.45,1,1,1
441,576,19,0.25,1,1,1
440,577,25,0.50,1,1,1
435,578,6,0.50,1,1,1
436,579,19,0.25,1,1,1
437,580,6,0.40,1,1,1
438,581,19,0.30,1,1,1
426,583,6,0.80,1,1,1
427,584,6,0.80,1,1,1
428,585,6,0.80,1,1,1
463,586,6,0.70,1,1,1
464,587,6,0.70,1,1,1
465,588,6,0.70,1,1,1
462,589,6,0.80,1,1,1
450,590,6,0.35,1,1,1
451,591,6,0.35,1,1,1
452,592,19,0.20,1,1,1
453,593,6,0.30,1,1,1
424,594,25,0.50,1,1,1
439,607,20,0.50,1,1,1
454,662,19,0.19,1,1,1
455,663,6,0.20,1,1,1
456,664,6,0.30,1,1,1
457,665,25,0.25,1,1,1
458,666,20,0.20,1,1,1
459,667,25,0.30,1,1,1
460,668,20,0.30,1,1,1
461,669,29,0.25,1,1,1
466,677,6,0.30,1,1,1
468,678,19,0.18,1,1,1
467,679,19,0.20,1,1,1
469,680,6,0.25,1,1,1
470,681,2,0.50,1,1,1
471,684,6,0.30,1,1,1
472,685,5,0.18,1,1,1
478,686,6,0.25,1,1,1
473,687,6,0.28,1,1,1
479,688,6,0.30,1,1,1
474,689,5,0.15,1,1,1
475,690,5,0.15,1,1,1
476,691,6,0.20,1,1,1
477,692,6,0.25,1,1,1
480,693,5,0.28,1,1,1
481,694,4,0.30,1,1,1
482,695,4,0.40,1,1,1
484,696,5,0.18,1,1,1
483,697,11,0.25,1,1,1
485,698,6,0.45,1,1,1
486,699,6,0.35,1,1,1
487,700,5,0.28,1,1,1
489,701,6,0.35,1,1,1
488,702,5,0.20,1,1,1
508,705,6,0.30,1,1,1
511,708,6,0.30,1,1,1
512,710,6,0.70,1,1,1
516,713,22,0.20,1,1,1
517,714,6,0.25,1,1,1
506,716,6,0.70,1,1,1
507,717,22,0.20,1,1,1
509,719,6,0.70,1,1,1
510,720,22,0.20,1,1,1
513,723,22,0.18,1,1,1
514,724,6,0.30,1,1,1
515,725,6,0.70,1,1,1
490,728,6,0.30,1,1,1
491,729,5,0.18,1,1,1
492,730,6,0.25,1,1,1
494,732,6,0.20,1,1,1
493,733,6,0.25,1,1,1
495,734,0,0.82,1,1,1
523,735,8,0.15,1,1,1
524,736,8,0.19,1,1,1
497,737,4,0.40,1,1,1
498,738,8,0.20,1,1,1
499,739,11,0.30,1,1,1
500,741,11,0.30,1,1,1
501,742,8,0.25,1,1,1
502,743,2,0.30,1,1,1
503,744,8,0.20,1,1,1
504,745,2,0.30,1,1,1
505,746,2,0.40,1,1,1
496,756,0,0.08,1,1,1
525,762,22,0.20,1,1,1
526,763,22,0.18,1,1,1
527,764,22,0.25,1,1,1
528,769,22,0.25,1,1,1
518,779,5,0.15,1,1,1
519,780,5,0.18,1,1,1
520,781,6,0.25,1,1,1
522,782,8,0.15,1,1,1
521,783,6,0.22,1,1,1
529,784,34,0.30,1,1,1
530,785,34,0.30,1,1,1
531,786,34,0.00,1,1,1
532,787,34,0.00,1,1,1
533,790,22,0.18,1,1,1
535,791,22,0.15,1,1,1
537,793,6,0.25,1,1,1
536,794,22,0.13,1,1,1
538,795,37,0.15,1,1,1
539,796,37,0.20,1,1,1
540,797,22,0.15,1,1,1
544,806,36,0.25,1,1,1
552,807,6,0.30,1,1,1
545,808,6,0.30,1,1,1
546,809,6,0.40,1,1,1
553,810,6,0.40,1,1,1
554,811,34,0.40,1,1,1
556,812,34,0.35,1,1,1
555,813,42,0.22,1,1,1
551,814,42,0.28,1,1,1
557,815,34,0.30,1,1,1
567,819,34,0.40,1,1,1
568,820,34,0.35,1,1,1
569,821,34,0.40,1,1,1
570,822,34,0.35,1,1,1
541,823,6,0.35,1,1,1
543,825,37,0.18,1,1,1
542,826,6,0.28,1,1,1
548,828,38,0.35,1,1,1
549,829,38,0.35,1,1,1
547,834,34,0.40,1,1,1
550,836,34,0.45,1,1,1
558,846,36,0.20,1,1,1
559,847,36,0.15,1,1,1
560,848,6,0.30,1,1,1
561,849,6,0.40,1,1,1
562,850,6,0.50,1,1,1
599,856,40,0.20,1,1,1
563,857,34,0.30,1,1,1
564,858,34,0.25,1,1,1
565,859,34,0.40,1,1,1
566,902,34,0.40,1,1,1
571,903,34,0.35,1,1,1
572,904,34,0.45,1,1,1
573,905,34,0.40,1,1,1
574,906,34,0.45,1,1,1
575,907,34,0.40,1,1,1
576,908,2,0.90,1,1,1
582,909,36,0.19,1,1,1
583,910,36,0.18,1,1,1
584,911,6,0.35,1,1,1
577,912,2,0.90,1,1,1
587,913,36,0.22,1,1,1
588,914,36,0.15,1,1,1
589,915,6,0.30,1,1,1
578,916,4,0.90,1,1,1
598,917,36,0.20,1,1,1
597,918,36,0.18,1,1,1
596,919,36,0.30,1,1,1
579,920,6,0.85,1,1,1
580,928,34,0.50,1,1,1
581,929,6,0.50,1,1,1
585,930,6,0.50,1,1,1
586,931,6,0.45,1,1,1
590,932,6,0.45,1,1,1
594,933,6,0.50,1,1,1
595,934,6,0.40,1,1,1
591,943,45,0.00,1,1,1
592,944,45,0.00,1,1,1
593,949,45,0.00,1,1,1
622,950,2,0.50,1,1,1
623,951,2,0.55,1,1,1
625,952,2,0.52,1,1,1
626,953,2,0.45,1,1,1
600,954,41,0.15,1,1,1
601,955,40,0.10,1,1,1
602,956,39,0.25,1,1,1
603,960,39,0.25,1,1,1
604,961,39,0.18,1,1,1
605,962,39,0.25,1,1,1
606,972,6,0.45,1,1,1
608,973,6,0.40,1,1,1
609,974,6,0.35,1,1,1
610,975,39,0.25,1,1,1
611,976,39,0.28,1,1,1
607,977,6,0.40,1,1,1
612,978,6,0.40,1,1,1
614,979,39,0.18,1,1,1
615,980,39,0.19,1,1,1
613,981,6,0.35,1,1,1
621,982,11,0.48,1,1,1
617,983,4,0.45,1,1,1
618,984,4,0.45,1,1,1
619,985,4,0.48,1,1,1
620,986,4,0.40,1,1,1
616,987,39,0.15,1,1,1
627,993,39,0.18,1,1,1
628,994,40,0.18,1,1,1
629,995,40,0.18,1,1,1
635,996,5,0.19,1,1,1
636,997,5,0.19,1,1,1
711,1005,8,0.20,1,1,1
712,1006,7,0.18,1,1,1
630,1019,4,0.50,1,1,1
633,1020,39,0.20,1,1,1
632,1021,39,0.20,1,1,1
634,1022,40,0.20,1,1,1
637,1023,5,0.25,1,1,1
639,1024,5,0.25,1,1,1
631,1025,40,0.20,1,1,1
638,1026,52,0.18,1,1,1
640,1027,5,0.25,1,1,1
641,1028,52,0.18,1,1,1
642,1029,5,0.26,1,1,1
701,1030,8,0.18,1,1,1
702,1031,8,0.20,1,1,1
703,1032,8,0.20,1,1,1
705,1035,38,0.35,1,1,1
683,1036,8,0.20,1,1,1
684,1037,42,0.21,1,1,1
685,1038,42,0.21,1,1,1
660,1062,42,0.21,1,1,1
643,1064,47,0.48,1,1,1
644,1066,47,0.45,1,1,1
646,1067,51,0.20,1,1,1
645,1068,51,0.19,1,1,1
656,1070,45,,1,1,1
657,1071,45,0.00,1,1,1
713,1072,8,0.20,1,1,1
714,1073,8,0.20,1,1,1
651,1074,49,0.45,1,1,1
653,1075,49,0.28,1,1,1
652,1076,49,0.38,1,1,1
654,1077,51,0.19,1,1,1
655,1078,51,0.15,1,1,1
665,1081,49,0.40,1,1,1
667,1082,49,0.25,1,1,1
666,1083,49,0.40,1,1,1
668,1084,51,0.22,1,1,1
669,1085,51,0.18,1,1,1
647,1088,49,0.45,1,1,1
648,1090,49,0.45,1,1,1
649,1091,51,0.15,1,1,1
650,1092,51,0.15,1,1,1
658,1093,45,0.00,1,1,1
659,1094,45,0.00,1,1,1
661,1095,49,0.35,1,1,1
662,1097,49,0.35,1,1,1
663,1098,51,0.15,1,1,1
664,1099,51,0.15,1,1,1
670,1102,49,0.35,1,1,1
671,1104,49,0.32,1,1,1
672,1105,51,0.12,1,1,1
673,1106,51,0.18,1,1,1
624,1111,2,0.52,1,1,1
674,1113,38,0.30,1,1,1
675,1114,38,0.40,1,1,1
677,1119,42,0.23,1,1,1
678,1120,52,0.22,1,1,1
680,1121,35,0.25,1,1,1
681,1122,42,0.00,1,1,1
682,1123,38,0.35,1,1,1
706,1124,38,0.40,1,1,1
707,1125,8,0.20,1,1,1
708,1126,38,0.40,1,1,1
709,1127,52,0.18,1,1,1
710,1128,42,0.20,1,1,1
679,1130,52,0.18,1,1,1
676,1133,42,0.25,1,1,1
715,1134,37,0.15,1,1,1
716,1135,37,0.18,1,1,1
720,1136,37,0.15,1,1,1
717,1137,37,0.18,1,1,1
718,1138,37,0.18,1,1,1
