"IdTelasColores","IdTelas","Color","Precio"
668,121,"Gris Perla",56.03
669,121,"Plumbago",56.03
670,121,"Rey",56.03
671,121,"Mel¢n",56.03
672,121,"Naranja",56.03
673,121,"Lila",57.76
674,121,"Rosa",56.03
675,121,"Verde Agua",57.76
676,121,"Amarillo",57.76
677,103,"Rosa",58.00
678,122,"Morado",26.00
679,122,"Fiusha",26.00
680,122,"Blanco",26.00
681,122,"Turqueza",26.00
682,122,"Coral",26.00
683,103,"Rojo",50.00
684,103,"Gris P.",58.00
685,103,"Negro",50.00
686,123,"Papaya",104.31
687,123,"Bellota",104.31
688,123,"Paleta",104.31
689,123,"Aquatic",104.31
690,109,"Paleta",90.52
691,123,"Azalea",104.31
692,123,"Lupino",107.76
693,123,"Baya",107.76
694,109,"Mno. Cadete",95.69
695,109,"Rojo Sangria",95.69
696,123,"Rojo Sangria",107.76
697,123,"Jaspe",107.76
698,123,"Mno. Cadete",107.76
699,124,"Blanco",86.00
700,124,"Amarillo Banana",92.00
701,124,"Mno. Cadete",98.00
702,124,"Turqueza Acuatic",98.00
703,124,"Rojo Sangria",98.00
704,125,"Rojo Sangria",86.00
705,125,"Turqueza Acuatic",86.00
706,125,"Marino",98.00
707,125,"Oxford",98.00
708,125,"Negro",98.00
709,109,"Lupino",95.69
710,125,"Blanco",74.00
711,125,"Banana",80.00
712,123,"Bamboo",107.76
713,109,"Oxford Claro",95.69
714,126,"Blanco",23.00
715,127,"Negro",122.00
716,127,"Marino",122.00
717,127,"Morado",122.00
718,127,"Gris",122.00
719,128,"Marino",26.29
720,128,"Plumbago",26.29
721,128,"Marino",26.29
722,97,"Marino",123.16
723,97,"Gris",118.10
724,97,"Negro",111.20
725,128,"Turqueza",26.29
726,78,"Gris Rata",109.00
727,129,"Blanco",11.00
728,130,"Negro",11.00
729,125,"Flamingo (Rosa)",80.00
730,125,"Cosmos (Rey)",86.00
731,125,"Sirena (V.Agua)",86.00
732,128,"Negro",41.00
733,128,"Fiusha",26.29
734,128,"Oxford",26.29
735,128,"Blanco",26.29
736,128,"Morado",26.29
737,128,"Rojo",41.00
738,131,"Negro",40.00
739,131,"Kaki",40.00
740,131,"Marino",40.00
741,131,"Oxford",40.00
742,132,"Lila",27.00
743,132,"Turqueza",27.00
744,132,"Caf‚",27.00
745,132,"Morado",27.00
746,132,"Negro",27.00
747,132,"Hueso",27.00
748,132,"Fiusha",27.00
749,132,"Magenta",27.00
750,133,"Caf‚",59.00
751,133,"Hueso",59.00
752,133,"Vainilla",59.00
753,133,"Marino",59.00
754,133,"Rojo",59.00
755,133,"Rosa Pastel",59.00
756,133,"Cielo",59.00
757,133,"Palo de Rosa",59.00
758,133,"Plumbago",59.00
759,133,"Beige",59.00
760,134,"Rojo",53.70
761,134,"Arena",53.70
762,134,"Shedron",53.70
763,134,"Vino",53.70
764,134,"Militar",53.70
765,134,"Rey",53.70
766,134,"Beige",53.70
767,134,"Turqueza",53.70
768,134,"Vainilla",53.70
769,134,"Mostaza",53.70
770,134,"Oxford",56.40
771,134,"Perla",56.40
772,134,"Plumbago",53.70
773,134,"Petroleo",53.70
774,134,"Tabaco",53.70
775,134,"Kaki",53.70
776,134,"Camello",53.70
777,134,"Negro",53.70
778,135,"Oxford",126.00
779,136,"Rosa",58.00
781,137,"Vainilla",50.00
782,138,"Vainilla",55.00
783,139,"Rojo",132.00
784,133,"mango",60.00
785,133,"Lila",60.00
786,133,"Perla",60.00
787,133,"Pistache",60.00
788,140,"negro",126.00
789,140,"Marino",126.00
790,140,"morado",126.00
791,140,"Jaspe",121.00
792,128,"Rey",33.00
793,128,"Mango",33.00
794,97,"Rey",117.24
795,141,"Rosa Baby",88.00
796,142,"Turquesa",125.00
797,142,"Fiusha",125.00
798,143,"Negro",132.00
799,143,"Blanco",124.00
800,144,"Fiusha",100.00
801,145,"Turquesa",115.00
802,146,"Manzana",105.50
803,147,"Turquesa",115.00
804,148,"Militar",93.00
805,149,"Camello",94.00
806,150,"Puntos Rosa",123.00
807,151,"Blanco",120.00
808,151,"Negro",126.00
809,152,"Turquesa",89.00
810,152,"Amarillo",89.00
811,153,"Verde Limon",90.00
812,153,"Azul Cascada",90.00
813,154,"Negro",98.00
814,154,"Lila",98.00
815,154,"Naranja",98.00
816,154,"Rojo",98.00
817,155,"Rey",50.00
818,155,"Militar",50.00
819,155,"Amarillo",50.00
820,155,"Jaspe",50.00
821,156,"Marino",50.00
822,156,"Negro",50.00
823,156,"Oxford",50.00
824,55,"Oxford",50.00
825,55,"Fiusha",50.00
826,54,"negro",132.60
827,157,"Marino",50.00
828,158,"Negro",50.00
830,158,"Negro Tubular",50.00
831,160,"Cielo",80.00
832,161,"Naranja",80.00
833,162,"Morado",105.00
834,163,"Cielo",94.00
835,163,"Blanco",94.00
836,163,"Rojo",94.00
837,164,"Blanco",140.00
838,165,"Negro/Jaspe",120.00
839,166,"Negro",112.00
840,167,"Negro",102.00
841,169,"Marino",113.00
842,170,"Fiusha",85.00
843,170,"Negro",85.00
844,170,"Blanco",85.00
845,170,"Turquesa",85.00
846,170,"Morado",85.00
847,170,"Rojo",85.00
848,170,"Amarillo",85.00
849,170,"Verde",85.00
850,171,"Oxford",100.00
851,137,"Plumbago",50.00
852,137,"Cielo",50.00
853,137,"Hueso",50.00
854,138,"Rey",55.00
855,138,"Turquesa",55.00
856,138,"Oxford",55.00
857,138,"Rojo",55.00
858,138,"Arena",55.00
859,138,"Lila",55.00
860,138,"Hueso",55.00
861,173,"Negro",50.00
862,174,"Rojo",55.00
863,174,"Arena",55.00
864,174,"Negro",55.00
865,175,"Lila/Rosa",28.00
866,175,"Verde/Azul",28.00
867,175,"Azul/Rey",28.00
868,175,"Rojo/Azul",28.00
869,175,"Fiusha/Rosa",28.00
870,176,"Azul/Blanco",103.00
871,176,"Amarillo/Blanco",103.00
872,177,"Negro",102.00
873,177,"Negro Ditecsa",128.00
874,178,"Plumbago",85.00
875,178,"Blanco",85.00
876,178,"Negro",85.00
877,178,"Hueso",85.00
878,178,"Vino",85.00
879,178,"Oxford",85.00
880,179,"Morado",68.00
881,179,"Plumbago",68.00
882,179,"Oxford",68.00
883,179,"Petroleo",68.00
884,179,"Uva",68.00
885,179,"Verde Botella",68.00
886,179,"Amarillo",68.00
887,179,"Vino",68.00
888,179,"Turquesa",68.00
889,179,"Naranja",68.00
890,179,"Oxford",68.00
891,179,"Negro",68.00
