"IdEsMa_Desc","IdEsMa","DescuentoEsMa","ObsDesc"
190,3904,$300.00,"3 prendas orden 1975"
191,3906,$270.00,"3 PRENDAS 1974"
192,3910,$300.00,"1975 3 PRENDAS"
193,3280,$789.00,"Cierre de cuentas"
194,3961,$250.00,"5 prendas orden 1997"
195,3967,$1000.00,"400 composturas"
196,3985,$1900.00,"19 prendas 1985"
197,3987,$1250.00,"Veladas para poder entregar la mercancia que se llevo 3 veces"
198,3999,$250.00,"5 prendas orden 2000"
199,4007,$1000.00,"por no entregar"
200,4097,$400.00,"8 prendas a 50 pesos orden 56066, orden 2005"
201,4105,$480.00,"8 prendas ordenes 2015 y 2016"
202,4129,$100.00,"2 playeras orden 2021"
203,4132,$350.00,"7 prendas ord 2025"
204,4133,$200.00,"4 prendas ord 2024"
205,4142,$1144.00,"Etiquetas"
206,4144,$2500.00,"Tomasa (reparaciones)"
207,4145,$1500.00,"1,000 atrasos
500 tiempo extra araceli"
208,4151,$800.00,"8 prends orden 2004"
209,4156,$300.00,"6 prendas orden 2010"
210,4064,$1000.00,"Descuento horas extras"
211,4176,$450.00,"Descuento 9 prendas orden 2017"
212,4183,$2000.00,"Maquinas 1/4"
213,4192,$1980.00,"44 prendas faltantes"
214,4213,$3300.00,"Descuento por reparaciones que hizo Tomasa"
215,4242,$300.00,"3 prendas ord 2040"
216,4066,$0.00,"descuento por pago de tiempo extra"
217,4253,$4724.00,"20% de orden 2040 por entrega mal y tarde"
218,4299,$2110.00,"Reposicion de tela para las prendas que echo a perder"
219,4270,$2000.00,"Maquinas 2/4"
220,4248,$2000.00,"Maquinas 3/4"
221,4286,$1000.00,"Maquinas 4/4"
222,4322,$330.00,"11 prendas orden 2034"
223,4326,$200.00,"4 prendas orden 2062"
224,4359,$1250.00,"Velada de 5 personas"
225,4332,$1100.00,"Descuento por entregar mal"
226,4352,$1000.00,"Entrega Tarde y Mal dehebrado"
227,4398,$1100.00,"22 prendas ordenes 2072 y 2073"
228,4418,$210.00,"3 prendas orden 2070"
229,4427,$140.00,"2 Prendas orden 2071"
231,4405,$400.00,"4 prendas 2094"
232,4530,$350.00,"5 prendas faltantes orden 2110"
233,4611,$5496.00,"3 pesos por cada vestido mal cosido que pagamos para arreglar"
234,4612,$2100.00,"Descuento 84 prendas orden 2083"
235,4615,$875.00,"Leggings faltantes"
236,4616,$1050.00,"15 vestidos"
237,4736,$675.00,"27 prendas orden 2144"
238,4737,$600.00,"15 prendas de dama. Ordenes 2140 y 2141"
239,4770,$210.00,"9 prendas faltantes ordenes 2151, 2178, 2182, 2177"
241,4776,$120.00,"4 prendas 2175 y 2180"
242,4802,$490.00,"10 prendas orden 2196, 3 prendas orden 2180"
243,4834,$300.00,"2 prendas 2199, 4 prendas 2198"
244,4850,$90.00,"3 prendas orden 2181"
245,4863,$840.00,"11 prendas ord. 2197, 1 de 2195, 2 de 2193"
246,4865,$300.00,"6 prendas 2110"
247,4867,$90.00,"3 prendas ord 2144"
248,4903,$1410.00,"Descuento de 47 prendas orden 2186"
249,4954,$100.00,"2 prenddas 2225"
250,5002,$160.00,"2 prendas orden 2220"
251,5010,$160.00,"4 prendas ord. 2175"
252,5015,$19710.50,
253,5090,$350.00,"7 prendas orden 2214"
254,5113,$4020.00,"16 Chamarras
42 Blusas de cklass"
255,5120,$560.00,"8 prendas"
256,5126,$150.00,"3 prendas orden 2252"
257,5240,$7290.00,"Compostura del jogger 486 a $15.00"
258,5336,$300.00,"5 prendas orden 2291"
259,5339,$0.00,"22 prendas orden 2276"
260,5444,$3052.00,"15% Orden 2301"
261,5488,$2767.20,"10% ordenes 2282 y 2261"
262,5491,$1500.00,"$2.50 de 600 prendas orden 2306. Compostura"
263,5568,$300.00,"4 prendas ord 2299, 1 prenda ord 2309"
265,5713,$0.00,"10 prendas orde 2339"
266,5726,$100.00,"2 prendas orden 2341"
267,5738,$100.00,"1 prenda orden 2358"
268,5769,$300.00,"3 prendas 2355"
269,5818,$790.00,"7 prendas orden 2353, 6 prendas 2374, 5 prendas 2375"
270,5823,$120.00,"3 prendas 2374"
271,5987,$1000.00,"20 prendas orden 2366"
272,5993,$240.00,"Descuento 6 prendas 2401"
273,6018,$50.00,"1 prenda orden 2367"
274,6130,$12020.00,"Composturas que se le pago a Tomasa (4,870.5) y Bruno (7,150)"
275,6136,$2871.00,"Cardigan"
276,6219,$240.00,"2 prendas orden 2405"
277,6301,$3500.00,"Se le pago a bruno, composturas"
278,6287,$1920.00,"Descuento por mala costura orden 2403"
279,6289,$4028.00,"Mal plancha deshebrado y costura ord. 2440"
280,6347,$612.00,"408 prendas orden 2423 a 3 pesos por defecto"
281,6354,$2368.00,"4 pesos orden 2464"
