"IdIP_InfConf","IdUsuarios","FechaRevision","IdOrdenes","InfGeneral","InfTela","InfHab","Medidas","Dibujo","Observ","InfEtiqueta","EspCostura","MedidasPrendas"
150,31,25/11/2009 00:00:00,976,1,1,1,1,1,1,1,1,1
151,31,25/11/2009 00:00:00,977,1,1,1,1,1,1,1,1,1
152,31,25/11/2009 00:00:00,996,1,1,1,1,1,1,1,1,1
153,31,25/11/2009 00:00:00,995,1,1,1,1,1,1,1,1,1
154,31,25/11/2009 00:00:00,992,1,1,1,1,1,1,1,1,1
155,31,25/11/2009 00:00:00,991,1,1,1,1,1,1,1,1,1
156,31,16/11/2009 00:00:00,963,1,1,1,1,1,1,1,1,0
158,31,16/12/2009 00:00:00,1002,1,1,1,1,1,1,1,1,1
159,31,16/12/2009 00:00:00,1003,1,1,1,1,1,1,1,1,1
160,31,16/12/2009 00:00:00,1004,1,1,1,1,1,1,1,1,1
161,31,16/12/2009 00:00:00,1005,1,1,1,1,1,1,1,1,1
162,31,16/12/2009 00:00:00,1006,1,1,1,1,1,1,1,1,0
164,31,17/12/2009 00:00:00,1007,1,1,1,1,1,1,1,1,1
165,31,17/12/2009 00:00:00,1011,1,1,1,1,1,1,1,1,1
166,31,17/12/2009 00:00:00,1012,1,1,1,1,1,1,1,1,1
167,31,27/01/2010 00:00:00,1037,1,1,1,1,1,0,1,1,1
168,31,21/01/2010 00:00:00,1035,1,1,1,1,1,1,1,1,1
169,31,16/12/2009 00:00:00,1010,1,1,1,1,1,1,1,1,1
171,31,11/02/2010 00:00:00,1017,1,1,1,1,1,0,1,1,0
172,31,19/02/2010 00:00:00,1027,1,1,1,1,1,0,1,1,0
173,31,19/02/2010 00:00:00,1024,1,1,1,1,1,1,1,0,1
