"IdProm_ExisFecha","CodigoExis","Tienda","CantExis"
1,"73802299L6310",33,44
1,"73802299L6310",42,9
1,"73802299L6310",2,8
1,"73802299L6310",49,32
1,"73802299L6310",11,6
1,"73802299L6310",24,7
1,"73802299L6310",37,18
1,"73802299L6310",45,5
1,"73802299L6310",7,20
1,"73802299L6310",36,4
1,"73802299L6310",12,13
1,"73802299L6310",19,25
1,"73802299L6310",3,-1
1,"73802299M4001",70,11
1,"73802349B6003",32,5
1,"73802349B6003",27,6
1,"73802349B6003",45,39
1,"73802349B6003",70,40
1,"73802349B6003",17,26
1,"73802349B6003",29,12
1,"73802349B6009",39,23
1,"73802349B6009",70,43
1,"73802349S6304",10,14
1,"73802349S6304",70,13
1,"73802349S6304",39,3
1,"73802349S6304",28,11
1,"73802349S6304",24,11
1,"73802349S6304",46,17
1,"73802349S6304",32,22
1,"73802399B6006",1,5
1,"73802399B6006",4,4
1,"73802399B6006",10,6
1,"73802399S4302",35,34
1,"73802399S4302",27,70
1,"73802399S4302",20,6
1,"73802399S4302",5,19
1,"73802399S4302",33,18
1,"73802399S4302",16,43
1,"73802399S4302",11,27
1,"73802399S4302",42,10
1,"73802399S4302",28,14
1,"73802399S4302",29,5
1,"73802399S4302",37,32
1,"73802399S4302",3,15
1,"73802399S4302",12,9
1,"73802399S4302",30,10
1,"73802399S4302",70,15
1,"73802399S4302",15,25
1,"73802399S4302",2,11
1,"73802399S4302",50,22
1,"73802399S4302",24,8
1,"73802399S4302",49,24
1,"73802399S4302",18,10
1,"73802399S4302",41,15
1,"73802399S4302",7,23
1,"73802399S4302",1,7
1,"73802399S4302",39,9
1,"73802399S4303",28,11
1,"73802399S4303",23,17
1,"73802399S4303",12,22
1,"73802399S4303",45,13
1,"73802399S4303",37,13
1,"73802399S4303",21,13
1,"73802399S4303",47,43
1,"73802399S4303",70,32
1,"73802399S4303",2,38
1,"73802399S4303",4,16
1,"73802399S4303",26,16
1,"73802399S4303",22,37
1,"73802399S4303",17,84
1,"73802399S4303",20,3
1,"73802399S4303",49,8
1,"73802399S4303",44,7
1,"73802399S4303",18,40
1,"73802399S4303",15,29
1,"73802399S4303",29,8
1,"73802399S4303",41,2
1,"73802399S4303",7,24
1,"73802399S4303",36,14
1,"73802399S4303",40,13
1,"73802399S4303",1,40
1,"73802399S4303",32,10
1,"73802399S4303",34,22
1,"73802399S4303",39,12
1,"73802399S4303",33,41
1,"73802399S4303",48,23
1,"73802399S4303",11,24
1,"73802399S4303",31,12
1,"73802399S4303",42,19
1,"73802399S4303",50,19
1,"73802399S4303",5,34
1,"73802399S4303",14,20
1,"73802399S4307",29,10
1,"73802399S4307",1,9
1,"73802399S4307",27,12
1,"73802399S4307",14,25
1,"73802399S4307",24,9
1,"73802399S4307",31,15
1,"73802399S4307",11,11
1,"73802399S4307",5,13
1,"73802399S4307",21,16
1,"73802399S4307",70,68
1,"73802399S4307",35,4
1,"73802399S4307",28,23
1,"73802399S4307",22,9
1,"73802399S4307",19,18
1,"73802399S4307",30,27
1,"73802399S4307",44,23
1,"73802399S6305",37,16
1,"73802399S6305",21,36
1,"73802399S6305",41,3
1,"73802399S6305",3,26
1,"73802399S6305",31,16
1,"73802399S6305",39,40
1,"73802399S6305",14,51
1,"73802399S6305",30,27
1,"73802399S6305",1,41
1,"73802399S6305",32,7
1,"73802399S6305",49,21
1,"73802399S6305",46,59
1,"73802399S6305",34,21
1,"73802399S6305",45,12
1,"73802399S6305",24,8
1,"73802399S6305",35,24
1,"73802399S6305",36,30
1,"73802399S6305",50,17
1,"73802399S6305",12,12
1,"73802399S6305",29,12
1,"73802399S6305",7,10
1,"73802399S6305",48,22
1,"73802399S6305",42,10
1,"73802399S6305",19,17
1,"73802399S6305",27,7
1,"73802399S6305",23,51
1,"73802399S6305",70,218
1,"73802399S6305",25,26
1,"73802399S6305",17,36
1,"73802399S6305",20,8
1,"73802399S6305",4,19
1,"73802399S6305",10,28
1,"73802399S6305",16,16
1,"73802399S6305",33,10
1,"73802399S6305",2,2
1,"73802399S6305",22,28
1,"73802399S6305",26,20
1,"73802399S6305",40,34
1,"73802399S6305",28,9
1,"73802399S6305",15,15
1,"73802399S6306",7,69
1,"73802399S6306",10,27
1,"73802399S6306",40,24
