"IdProm_Codigos","ModeloProm","CodigoProm","Proveedor","IdPrenda","IdGenero","Consecutivo","IdPartida","Precio","Precio2","Foto1","Foto2","CostoUS","CantidadRec","IdUsuarios"
173,"Y6006","73803199Y6006","738","Y",6,6,3,169,199.00,"Y6006a","Y6006b",19.50,100,1
174,"N6315","73803249N6315","738","N",6,315,3,209,249.00,"N6315a","N6315b",24.50,50,1
175,"D6306","73803499D6306","738","D",6,306,3,419,499.00,"D6306a","D6306b",49.50,100,1
176,"A6004","73803299A6004","738","A",6,4,3,249,299.00,"A6004a","A6004b",29.50,100,1
177,"T6001","73803349T6001","738","T",6,1,3,299,349.00,"T6001a","T6001b",34.50,50,1
178,"M4301","73803269M4301","738","M",4,301,3,229,269.00,"M4301a","M4301b",24.50,50,1
179,"B6306","73803299B6306","738","B",6,306,3,,299.00,"B6306a","B6306b",29.50,70,1
180,"C6326","73803119C6326","738","C",6,326,3,99,119.00,"C6326a","C6326b",12.50,50,1
181,"C6327","73803149C6327","738","C",6,327,3,129,149.00,"C6327a","C6327b",14.50,100,1
182,"C6328","73803149C6328","738","C",6,328,3,129,149.00,"C6328a","C6328b",14.50,100,1
183,"C6329","73803169C6329","738","C",6,329,3,149,169.00,"C6329a","C6329b",16.50,100,1
184,"C6330","73803199C6330","738","C",6,330,3,169,199.00,"C6330a","C6330b",19.50,100,1
185,"B6307","73803169B6307","738","B",6,307,3,149,169.00,"B6307a","B6307b",16.50,100,1
186,"C4331","73803169C4331","738","C",4,331,3,149,169.00,"C4331a","C4331b",16.50,100,1
187,"S4314","73803349S4314","738","S",4,314,3,,349.00,"S4314a","S4314b",34.50,100,1
